2026-05-24 00:41:37,100 | INFO | rag_pipeline | Loading PDF: ifrs9Z_financial_instruments.pdf
2026-05-24 00:41:37,638 | INFO | rag_pipeline | Loading PDF: rbi_digital_lending_directions_2025.pdf
2026-05-24 00:41:37,772 | INFO | rag_pipeline | Loading PDF: eu_ai_act_annex_iii.pdf
2026-05-24 00:41:37,804 | INFO | rag_pipeline | Loading PDF: ecb_ssm_priorities_2026_2028.pdf
2026-05-24 00:41:38,111 | INFO | rag_pipeline | Loaded 231 pages
2026-05-24 00:41:38,111 | INFO | rag_pipeline | Chunking documents
2026-05-24 00:41:38,116 | INFO | rag_pipeline | Generated 656 chunks
2026-05-24 00:43:48,577 | INFO | main | Loading dataset...
2026-05-24 00:43:48,577 | INFO | main | Starting preprocessing...
2026-05-24 00:43:48,577 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-24 00:43:48,577 | INFO | preprocessing | Loading raw dataset
2026-05-24 00:45:02,868 | INFO | preprocessing | Dataset Shape: (2260701, 151)
2026-05-24 00:45:09,574 | INFO | preprocessing | Removed 0 duplicate rows
2026-05-24 00:45:10,612 | INFO | preprocessing | Removed 15 leakage columns
2026-05-24 00:45:10,790 | INFO | preprocessing | Creating default target
2026-05-24 00:45:11,081 | INFO | preprocessing | Processing date columns
2026-05-24 00:45:11,305 | INFO | preprocessing | Processing employment length
2026-05-24 00:45:11,590 | INFO | preprocessing | Processing percentage columns
2026-05-24 00:45:12,981 | INFO | preprocessing | Creating risk features
2026-05-24 00:45:13,006 | INFO | preprocessing | Dropping high null columns
2026-05-24 00:45:14,223 | INFO | preprocessing | Dropped 38 high-null columns
2026-05-24 00:45:14,358 | INFO | preprocessing | Handling missing values
2026-05-24 00:45:18,478 | INFO | preprocessing | Encoding categorical columns
2026-05-24 00:45:26,511 | INFO | preprocessing | Selecting final features
2026-05-24 00:45:26,593 | INFO | preprocessing | Optimizing memory
2026-05-24 00:45:26,878 | INFO | preprocessing | Preprocessing completed
2026-05-24 00:45:26,878 | INFO | preprocessing | Final Shape: (2260701, 23)
2026-05-24 00:45:26,878 | INFO | main | Training PD model...
2026-05-24 00:45:26,878 | INFO | risk_model | Preparing train/test datasets
2026-05-24 00:45:27,343 | INFO | risk_model | Training XGBoost model
2026-05-24 00:45:34,458 | INFO | risk_model | Training completed
2026-05-24 00:45:34,458 | INFO | risk_model | Evaluating model
2026-05-24 00:45:35,113 | INFO | risk_model | Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:45:35,113 | INFO | main | Model Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:45:36,166 | INFO | main | Running ECL engine...
2026-05-24 00:45:36,166 | INFO | ecl_engine | Running IFRS9 engine
2026-05-24 00:46:01,904 | INFO | ecl_engine | IFRS9 calculation completed
2026-05-24 00:46:01,904 | INFO | main | Running validation engine...
2026-05-24 00:46:01,904 | INFO | validation | Starting validation engine
2026-05-24 00:46:01,904 | INFO | validation | Generating portfolio summary
2026-05-24 00:46:01,912 | INFO | validation | Running drift analysis
2026-05-24 00:46:05,639 | INFO | validation | Running bias analysis
2026-05-24 00:46:05,639 | INFO | validation | Generating risk distribution
2026-05-24 00:46:05,642 | INFO | validation | Analyzing top risk segments
2026-05-24 00:46:05,642 | INFO | validation | Validation completed
2026-05-24 00:46:05,642 | INFO | main | Initializing RAG pipeline...
2026-05-24 00:46:05,651 | INFO | rag_pipeline | Creating new vector database
2026-05-24 00:46:05,652 | INFO | rag_pipeline | Building vector database
2026-05-24 00:46:05,652 | INFO | rag_pipeline | Loading regulatory PDFs
2026-05-24 00:46:05,652 | INFO | rag_pipeline | Loading PDF: ifrs9Z_financial_instruments.pdf
2026-05-24 00:46:06,208 | INFO | rag_pipeline | Loading PDF: rbi_digital_lending_directions_2025.pdf
2026-05-24 00:46:06,387 | INFO | rag_pipeline | Loading PDF: eu_ai_act_annex_iii.pdf
2026-05-24 00:46:06,420 | INFO | rag_pipeline | Loading PDF: ecb_ssm_priorities_2026_2028.pdf
2026-05-24 00:46:06,750 | INFO | rag_pipeline | Loaded 231 pages
2026-05-24 00:46:06,750 | INFO | rag_pipeline | Chunking documents
2026-05-24 00:46:06,755 | INFO | rag_pipeline | Generated 767 chunks
2026-05-24 00:46:06,755 | INFO | rag_pipeline | Creating FAISS embeddings
2026-05-24 00:46:06,755 | INFO | rag_pipeline | Embedding batch 0 -> 20
2026-05-24 00:52:37,908 | INFO | main | Loading dataset...
2026-05-24 00:52:37,908 | INFO | main | Starting preprocessing...
2026-05-24 00:52:37,908 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-24 00:52:37,908 | INFO | preprocessing | Loading raw dataset
2026-05-24 00:53:39,187 | INFO | preprocessing | Dataset Shape: (2260701, 151)
2026-05-24 00:53:44,494 | INFO | preprocessing | Removed 0 duplicate rows
2026-05-24 00:53:45,035 | INFO | preprocessing | Removed 15 leakage columns
2026-05-24 00:53:45,166 | INFO | preprocessing | Creating default target
2026-05-24 00:53:45,429 | INFO | preprocessing | Processing date columns
2026-05-24 00:53:45,646 | INFO | preprocessing | Processing employment length
2026-05-24 00:53:45,927 | INFO | preprocessing | Processing percentage columns
2026-05-24 00:53:47,313 | INFO | preprocessing | Creating risk features
2026-05-24 00:53:47,335 | INFO | preprocessing | Dropping high null columns
2026-05-24 00:53:48,435 | INFO | preprocessing | Dropped 38 high-null columns
2026-05-24 00:53:48,560 | INFO | preprocessing | Handling missing values
2026-05-24 00:53:52,315 | INFO | preprocessing | Encoding categorical columns
2026-05-24 00:54:00,246 | INFO | preprocessing | Selecting final features
2026-05-24 00:54:00,329 | INFO | preprocessing | Optimizing memory
2026-05-24 00:54:00,581 | INFO | preprocessing | Preprocessing completed
2026-05-24 00:54:00,581 | INFO | preprocessing | Final Shape: (2260701, 23)
2026-05-24 00:54:00,582 | INFO | main | Training PD model...
2026-05-24 00:54:00,582 | INFO | risk_model | Preparing train/test datasets
2026-05-24 00:54:01,021 | INFO | risk_model | Training XGBoost model
2026-05-24 00:54:07,722 | INFO | risk_model | Training completed
2026-05-24 00:54:07,722 | INFO | risk_model | Evaluating model
2026-05-24 00:54:08,365 | INFO | risk_model | Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:54:08,365 | INFO | main | Model Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:54:09,361 | INFO | main | Running ECL engine...
2026-05-24 00:54:09,361 | INFO | ecl_engine | Running IFRS9 engine
2026-05-24 00:54:34,601 | INFO | ecl_engine | IFRS9 calculation completed
2026-05-24 00:54:34,601 | INFO | main | Running validation engine...
2026-05-24 00:54:34,601 | INFO | validation | Starting validation engine
2026-05-24 00:54:34,601 | INFO | validation | Generating portfolio summary
2026-05-24 00:54:34,609 | INFO | validation | Running drift analysis
2026-05-24 00:54:38,167 | INFO | validation | Running bias analysis
2026-05-24 00:54:38,167 | INFO | validation | Generating risk distribution
2026-05-24 00:54:38,170 | INFO | validation | Analyzing top risk segments
2026-05-24 00:54:38,170 | INFO | validation | Validation completed
2026-05-24 00:54:38,170 | INFO | main | Initializing RAG pipeline...
2026-05-24 00:58:52,707 | INFO | main | Loading dataset...
2026-05-24 00:58:52,707 | INFO | main | Starting preprocessing...
